City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
95,Careiro Da Varzea,BR,82.4,clear sky,-3.2,-59.81,POUSADA DA ALDENORA
96,Bandarbeyla,SO,80.15,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
97,Cartagena,CO,84.2,scattered clouds,10.4,-75.51,Costa Del Sol
99,Aquiraz,BR,78.8,scattered clouds,-3.9,-38.39,Hotel Laguna Blu
104,Mitsamiouli,KM,80.29,light rain,-11.38,43.28,Foyer ADM
111,Ichhawar,IN,77.0,haze,23.02,77.02,Ram mandira
112,Anloga,GH,78.8,scattered clouds,5.79,0.9,Pin Drop Hotel
114,Sao Miguel Do Araguaia,BR,79.29,clear sky,-13.28,-50.16,Hotel Executivo Palace
116,Kavaratti,IN,82.4,few clouds,10.57,72.64,Hotels in Lakshadweep Islands
122,Tabou,CI,76.73,broken clouds,4.42,-7.35,hotêl doufoulougou
124,Panaba,MX,76.53,overcast clouds,21.28,-88.27,Hotel Amor
125,Gagret,IN,78.93,clear sky,31.67,76.07,The Hotel Clark Plaza
143,Marawi,PH,86.0,overcast clouds,8.0,124.29,Derogongan Residence
145,Diu,IN,85.71,clear sky,20.71,70.98,Hotel Relax Inn
146,Accra,GH,78.8,scattered clouds,5.56,-0.2,Accra City Hotel
147,Sao Filipe,CV,79.3,clear sky,14.9,-24.5,Tortuga B&B
148,Saint-Philippe,RE,77.0,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
