,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
264,Bengkulu,ID,-3.8,102.27,82.87,66,100,7.49,overcast clouds
265,Codrington,AU,-38.27,141.97,57.85,92,100,8.05,overcast clouds
266,Bhadrachalam,IN,17.67,80.88,81.12,74,52,5.14,broken clouds
267,Podosinovets,RU,60.28,47.07,28.08,93,100,10.54,overcast clouds
268,Lodja,CD,-3.48,23.43,68.65,98,100,2.46,light rain
269,Castro,BR,-24.79,-50.01,60.17,88,73,12.66,broken clouds
270,Amaigbo,NG,5.79,7.84,73.72,98,98,2.53,overcast clouds
271,Wattegama,LK,6.8,81.48,86.0,74,20,11.41,few clouds
272,Husavik,IS,66.04,-17.34,39.2,69,40,5.82,scattered clouds
273,Abu Dhabi,AE,24.47,54.37,77.0,83,0,1.12,clear sky
274,Vieste,IT,41.88,16.18,48.2,100,40,1.12,mist
275,Abha,SA,18.22,42.51,57.2,22,0,9.64,clear sky
276,Carahue,CL,-38.7,-73.17,46.4,100,20,4.7,few clouds
277,Amontada,BR,-3.36,-39.83,76.77,79,96,7.23,overcast clouds
278,Aksarka,RU,66.56,67.8,17.76,97,96,6.58,overcast clouds
279,Beloha,MG,-25.17,45.05,73.38,67,0,12.06,clear sky
280,Sorland,NO,67.67,12.69,37.4,69,75,11.41,shower rain
281,Andenes,NO,69.31,16.12,32.0,87,75,6.93,light snow
282,Funadhoo,MV,6.15,73.27,82.33,78,51,13.29,broken clouds
283,Menongue,AO,-14.66,17.69,61.7,75,0,4.61,clear sky
284,Semnan,IR,35.57,53.4,57.9,47,0,0.31,clear sky
285,Quatre Cocos,MU,-20.21,57.76,77.0,73,40,12.75,scattered clouds
286,Vestmannaeyjar,IS,63.44,-20.27,44.74,87,99,20.65,moderate rain
287,Omidiyeh,IR,30.76,49.7,60.8,63,0,4.7,clear sky
288,Coquimbo,CL,-29.95,-71.34,53.6,87,3,5.82,clear sky
289,Mangrol,IN,21.12,70.12,84.02,54,0,6.89,clear sky
290,Stephenville,US,32.22,-98.2,75.2,69,1,6.93,clear sky
291,Gamba,GA,-2.65,10.0,76.53,87,100,7.31,overcast clouds
292,Saldanha,ZA,-33.01,17.94,59.0,87,46,10.29,scattered clouds
293,Wer,IN,27.0,77.17,84.61,25,0,3.11,clear sky
294,Ondangwa,NA,-17.92,15.95,75.2,36,23,5.82,few clouds
295,Humaita,BR,-7.51,-63.02,73.74,95,98,2.48,overcast clouds
296,Mehamn,NO,71.04,27.85,35.6,80,40,10.29,scattered clouds
297,Uribia,CO,11.71,-72.27,82.58,79,100,3.11,overcast clouds
298,Kalmunai,LK,7.42,81.82,86.94,59,94,1.86,overcast clouds
299,Tineo,ES,43.34,-6.41,51.8,81,0,5.82,clear sky
300,Santa Fe,AR,-31.63,-60.7,72.0,80,16,1.99,few clouds
301,Lagoa,PT,39.05,-27.98,64.99,73,72,12.53,broken clouds
302,Bom Jesus,BR,-9.07,-44.36,77.49,40,2,2.1,clear sky
303,Ardee,IE,53.86,-6.54,46.99,87,100,5.01,heavy intensity rain
304,Matara,LK,5.95,80.54,84.61,70,78,11.48,broken clouds
305,Horadiz,AZ,39.45,47.34,50.0,93,0,4.7,clear sky
306,Beawar,IN,26.1,74.32,83.86,15,0,2.98,clear sky
307,Nur,PL,52.67,22.32,53.01,86,100,10.09,overcast clouds
308,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,73.6,83,80,0.72,broken clouds
309,Padang,ID,-0.95,100.35,86.59,58,100,3.91,overcast clouds
310,Ndjole,GA,-0.18,10.76,73.96,95,100,2.91,light rain
311,Bad Doberan,DE,54.11,11.9,53.01,93,14,6.93,few clouds
312,Mineros,BO,-17.12,-63.23,78.8,74,22,3.36,few clouds
313,Qurayyat,SA,31.33,37.34,59.0,31,0,4.7,clear sky
314,Gambo,CF,4.65,22.26,66.7,97,100,1.36,overcast clouds
315,Amapa,BR,1.0,-52.0,75.36,81,79,4.85,broken clouds
316,Talcahuano,CL,-36.72,-73.12,51.8,81,0,9.17,clear sky
317,Bereda,ES,43.27,-7.54,52.0,97,60,8.99,light rain
318,Honningsvag,NO,70.98,25.97,35.6,80,40,10.29,scattered clouds
319,Asosa,ET,10.07,34.53,63.81,84,35,4.88,scattered clouds
320,Sur,OM,22.57,59.53,81.97,48,0,9.35,clear sky
321,Tazovskiy,RU,67.47,78.7,15.08,96,100,7.02,light snow
322,Aranos,NA,-24.13,19.12,66.63,32,33,5.03,scattered clouds
