City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
186,Morant Bay,JM,2020-10-22 02:04:25,17.88,-76.41,77.0,94,75,9.17
187,Georgiyevka,KZ,2020-10-22 01:59:34,43.04,74.71,42.8,56,100,6.71
188,Malakwal,PK,2020-10-22 02:04:37,32.55,73.21,65.91,28,0,3.04
189,Port Elizabeth,ZA,2020-10-22 01:58:15,-33.92,25.57,55.4,93,0,3.36
190,Dawlatabad,AF,2020-10-22 02:04:37,36.41,64.91,46.81,49,0,5.23
191,Acarau,BR,2020-10-22 01:59:47,-2.89,-40.12,79.52,82,2,15.82
192,Buzoesti,RO,2020-10-22 02:04:38,44.58,24.92,47.48,69,0,6.15
193,Yarmouth,US,2020-10-22 02:04:38,41.71,-70.23,64.99,100,90,6.93
194,Zhezkazgan,KZ,2020-10-22 01:59:48,47.8,67.71,38.14,67,4,11.99
195,Senneterre,CA,2020-10-22 01:58:44,48.38,-77.23,37.4,93,90,3.36
196,Saint-Augustin,CA,2020-10-22 01:59:41,51.23,-58.65,36.88,86,100,10.47
197,Thinadhoo,MV,2020-10-22 02:04:38,0.53,72.93,82.85,75,57,14.41
198,Deer Lake,CA,2020-10-22 02:04:39,49.17,-57.43,42.8,93,90,10.29
199,Dzaoudzi,YT,2020-10-22 02:04:39,-12.79,45.27,78.8,83,75,11.41
200,Saint-Pierre,RE,2020-10-22 02:04:39,-21.34,55.48,69.8,64,56,5.82
201,Garissa,KE,2020-10-22 02:04:39,-0.45,39.64,76.35,80,85,14.56
202,Oriximina,BR,2020-10-22 01:59:32,-1.77,-55.87,80.96,68,12,2.26
203,Mar Del Plata,AR,2020-10-22 01:53:54,-38.0,-57.56,54.0,71,11,17.22
204,Faya,SA,2020-10-22 01:58:39,18.39,42.45,59.0,19,76,3.36
205,Sao Joao Da Barra,BR,2020-10-22 02:04:31,-21.64,-41.05,73.45,87,26,10.2
206,Laguna,US,2020-10-22 01:58:30,38.42,-121.42,80.6,28,1,1.23
207,Jasper,US,2020-10-22 02:03:53,37.2,-94.35,73.99,69,1,5.82
208,Zemio,CF,2020-10-22 02:04:41,5.03,25.14,69.37,96,100,4.27
209,Mglin,RU,2020-10-22 02:04:41,53.06,32.85,43.29,90,100,5.35
210,Hualmay,PE,2020-10-22 02:03:36,-11.1,-77.61,62.8,84,21,9.19
211,Gurabo,PR,2020-10-22 02:01:26,18.25,-65.97,77.0,87,44,1.01
